file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\state\internals\TimestampedKeyValueStoreBuilder.java,org.apache.kafka.streams.state.internals.TimestampedKeyValueStoreBuilder$InMemoryTimestampedKeyValueStoreMarker,innerclass,15,15,0,15,17,2,0,18,91,0,0,0,14,0,13,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,53,11,0,0,0,1,4,1,3,2,3,1,0,0,0,56,26,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\test\java\org\apache\kafka\common\utils\AbstractIteratorTest.java,org.apache.kafka.common.utils.AbstractIteratorTest$ListIterator,innerclass,2,2,0,2,3,2,0,3,0,0.25,1,1,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,0,0,0,11,2,0,0,0,0,0,1,2,0,2,1,0,0,0,10,8,0
C:\Users\abhi\Downloads\Kafka\kafka\connect\runtime\src\main\java\org\apache\kafka\connect\runtime\isolation\PluginUtils.java,org.apache.kafka.connect.runtime.isolation.PluginUtils,class,10,16,6,10,48,1,0,81,77,0.8714286,0.09090909,0.09090909,14,14,12,2,0,0,12,0,0,0,5,5,0,5,0,0,5,0,34,220,19,7,5,5,1,105,9,40,3,40,5,0,1,4,182,1,7
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\security\scram\internals\ScramCredentialUtils.java,org.apache.kafka.common.security.scram.internals.ScramCredentialUtils,class,5,7,2,5,14,1,0,22,8,0.6,0.33333334,0.33333334,5,4,3,2,0,0,3,0,0,0,4,4,0,4,0,0,4,0,10,37,3,2,1,0,0,8,4,12,3,12,2,0,0,0,66,17,0
C:\Users\abhi\Downloads\Kafka\kafka\streams\src\main\java\org\apache\kafka\streams\TopologyConfig.java,org.apache.kafka.streams.TopologyConfig$TaskConfig,innerclass,2,2,0,2,1,1,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,16,0,0,0,0,0,0,0,6,0,6,0,0,0,0,18,9,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\test\java\org\apache\kafka\common\record\RemoteLogInputStreamTest.java,org.apache.kafka.common.record.RemoteLogInputStreamTest,class,13,14,1,13,20,1,0,42,21,0,0,0,7,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,159,5,1,7,7,0,24,45,46,8,46,2,0,2,0,66,1,0
C:\Users\abhi\Downloads\Kafka\kafka\group-coordinator\src\main\java\org\apache\kafka\coordinator\group\runtime\CoordinatorLoader.java,org.apache.kafka.coordinator.group.runtime.CoordinatorLoader$UnknownRecordTypeException,innerclass,0,0,0,0,2,4,0,1,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,0,0
C:\Users\abhi\Downloads\Kafka\kafka\clients\src\main\java\org\apache\kafka\common\requests\FetchSnapshotRequest.java,org.apache.kafka.common.requests.FetchSnapshotRequest$Builder,innerclass,3,3,0,3,3,2,0,1,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,9,0
C:\Users\abhi\Downloads\Kafka\kafka\group-coordinator\src\main\java\org\apache\kafka\coordinator\group\OffsetExpirationCondition.java,org.apache.kafka.coordinator.group.OffsetExpirationCondition,interface,1,8,7,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Users\abhi\Downloads\Kafka\kafka\core\src\main\java\kafka\server\logger\RuntimeLoggerManager.java,kafka.server.logger.RuntimeLoggerManager,class,9,11,2,9,22,1,0,23,11,0.72222227,0.0952381,0.14285715,6,0,2,0,0,4,7,0,0,0,3,1,0,2,0,1,3,0,2,95,0,0,1,1,0,24,0,9,9,11,3,0,0,2,86,1,4
