file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-gui\src\main\java\aima\gui\swing\applications\robotics\components\ButtonPanel.java,aima.gui.swing.applications.robotics.components.ButtonPanel,class,2,3,1,2,8,6,0,9,22,0.8125,0.10714286,0.10714286,8,0,8,0,0,0,8,0,0,0,2,1,0,2,0,0,1,0,2,33,0,0,0,0,0,0,1,3,0,3,0,0,0,0,69,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\learning\data\DataResource.java,aima.core.learning.data.DataResource,class,0,2,2,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\probability\util\ProbUtilTest.java,aima.test.core.unit.probability.util.ProbUtilTest,class,6,7,1,6,5,1,0,7,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,1,0,36,55,11,0,11,2,0,0,0,32,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\logic\fol\inference\otter\ClauseSimplifier.java,aima.core.logic.fol.inference.otter.ClauseSimplifier,interface,1,3,2,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\agent\DTAgent.java,aima.core.agent.DTAgent,class,6,7,1,6,3,2,0,3,1,0.5555556,0.33333334,0.33333334,3,0,2,0,0,1,3,2,0,0,3,0,0,0,0,3,0,0,0,13,1,0,0,0,0,0,0,2,0,5,0,0,0,0,72,1025,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\learning\reinforcement\PerceptStateReward.java,aima.core.learning.reinforcement.PerceptStateReward,interface,2,7,5,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\logic\common\Lexer.java,aima.core.logic.common.Lexer,class,4,10,6,4,18,1,2,6,19,0.70000005,0.26666668,0.4,10,0,3,4,3,0,6,1,0,0,5,1,0,4,1,0,1,0,0,64,4,3,1,1,1,1,11,16,4,10,2,0,0,0,104,1025,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\search\adversarial\Game.java,aima.core.search.adversarial.Game,interface,3,7,4,3,7,1,0,0,21,0,0,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\learning\neural\BackPropagationTest.java,aima.test.core.unit.learning.neural.BackPropagationTest,class,12,13,1,12,4,1,0,18,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,125,35,0,35,0,0,0,0,49,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\environment\vacuum\MazeVacuumEnvironment.java,aima.core.environment.vacuum.MazeVacuumEnvironment,class,9,10,1,9,36,3,0,25,87,0.9107142,0.055555556,0.083333336,14,1,9,5,0,0,9,0,0,0,8,6,6,2,0,0,8,0,3,103,9,2,8,0,1,6,24,25,13,23,2,0,0,0,105,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\logic\fol\inference\otter\ClauseFilter.java,aima.core.logic.fol.inference.otter.ClauseFilter,interface,1,3,2,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\probability\mdp\PolicyEvaluation.java,aima.core.probability.mdp.PolicyEvaluation,interface,3,5,2,3,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\learning\framework\InformationAndGainTest.java,aima.test.core.unit.learning.framework.InformationAndGainTest,class,4,5,1,4,4,1,0,9,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,6,18,9,0,8,0,0,0,0,24,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\search\framework\problem\Problem.java,aima.core.search.framework.problem.Problem,interface,5,27,22,5,6,1,0,2,15,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\environment\map\MoveToAction.java,aima.core.environment.map.MoveToAction,class,2,9,7,2,2,3,0,2,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,10,1,0,0,0,0,2,0,1,0,1,0,0,0,0,23,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\learning\LearningTestSuite.java,aima.test.core.unit.learning.LearningTestSuite,class,16,17,1,16,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\logic\fol\StandardizeApartInPlace.java,aima.core.logic.fol.CollectAllVariables,class,10,11,1,10,11,1,0,12,36,0,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,44,8,2,0,0,0,2,0,2,0,2,1,0,0,0,28,0,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\agent\impl\PerceptSequenceTest.java,aima.test.core.unit.agent.impl.PerceptSequenceTest,class,3,4,1,3,2,1,0,4,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,0,3,0,3,0,0,0,0,13,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\probability\example\FullJointDistributionToothacheCavityCatchModel.java,aima.core.probability.example.FullJointDistributionToothacheCavityCatchModel,class,2,2,0,2,1,2,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\main\java\aima\core\logic\propositional\agent\KBAgent.java,aima.core.logic.propositional.agent.KBAgent,class,6,7,1,6,6,2,0,6,0,0.4166667,0.6,1,6,0,6,0,0,0,6,4,0,0,2,0,0,1,1,0,0,0,1,18,1,0,0,0,0,0,2,4,1,3,0,0,0,0,102,1025,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-core\src\test\java\aima\test\core\unit\search\uninformed\BreadthFirstSearchTest.java,aima.test.core.unit.search.uninformed.BreadthFirstSearchTest,class,10,12,2,10,3,1,0,12,3,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,16,12,7,0,7,0,0,0,0,19,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aimax-osm\src\main\java\aimax\osm\reader\WayElementProcessor.java,aimax.osm.reader.WayElementProcessor,class,8,10,2,8,13,2,0,15,0,0.6166667,0.8,1,6,0,6,0,0,0,6,0,0,0,10,3,0,10,0,0,3,0,1,52,3,0,1,0,0,4,0,14,0,13,3,0,0,0,80,1,0
C:\Users\abhi\Downloads\afterbyte\aina_java\aima-java\aima-gui\src\main\java\aima\gui\swing\framework\AgentAppFrame.java,aima.gui.swing.framework.AgentAppFrame$FrameActionListener,innerclass,4,4,0,4,11,1,0,18,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,7,1,0,17,0,9,1,3,5,0,0,0,46,2,0
