file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\main\java\org\broadinstitute\hellbender\engine\GATKPath.java,org.broadinstitute.hellbender.engine.GATKPath,class,8,40,32,8,32,2,1,34,77,0.8571428,0.07692308,0.07692308,14,1,13,0,0,1,14,0,0,0,4,2,1,3,0,0,2,0,5,121,17,0,7,4,1,4,3,17,5,14,4,0,0,0,146,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\test\java\org\broadinstitute\hellbender\tools\examples\ExamplePostTraversalPythonExecutorIntegrationTest.java,org.broadinstitute.hellbender.tools.examples.ExamplePostTraversalPythonExecutorIntegrationTest,class,3,3,0,3,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,1,8,0,0,0,0,0,9,0,3,4,3,0,0,0,0,38,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\test\java\org\broadinstitute\hellbender\tools\walkers\variantutils\ReblockGVCFIntegrationTest.java,org.broadinstitute.hellbender.tools.walkers.variantutils.ReblockGVCFIntegrationTest,class,16,16,0,16,49,2,0,75,316,0.875,0.08201058,0.08201058,28,0,28,0,0,0,28,0,0,0,4,4,1,3,0,0,4,0,15,350,1,5,8,2,3,261,87,120,45,135,2,0,0,15,223,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\test\java\org\broadinstitute\hellbender\engine\GATKToolUnitTest.java,org.broadinstitute.hellbender.engine.GATKToolUnitTest$TestGATKToolWithNothing,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,26,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\walkers\mutect\filtering\ThresholdCalculator.java,org.broadinstitute.hellbender.tools.walkers.mutect.filtering.ThresholdCalculator,class,6,8,2,6,17,1,0,15,9,0.65714294,0.2857143,0.47619048,7,2,6,0,0,1,7,0,0,0,5,0,0,4,0,1,4,0,4,77,4,2,2,0,6,4,21,26,19,22,2,0,1,1,105,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\walkers\vqsr\TrainingSet.java,org.broadinstitute.hellbender.tools.walkers.vqsr.TrainingSet,class,6,9,3,6,9,1,0,10,0,0.5833333,NaN,NaN,3,0,1,2,0,0,1,0,0,0,8,0,7,0,1,0,1,0,4,43,2,0,2,1,0,11,1,17,1,11,1,0,0,0,47,1,3
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\test\java\org\broadinstitute\hellbender\utils\iterators\AllLocusIteratorUnitTest.java,org.broadinstitute.hellbender.utils.iterators.AllLocusIteratorUnitTest,class,7,7,0,7,6,2,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,44,1,1,1,0,0,22,48,17,3,17,2,0,0,1,54,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\test\java\org\broadinstitute\hellbender\tools\walkers\featuremapping\FlowPairHMMAlignReadsToHaplotypesIntegrationTest.java,org.broadinstitute.hellbender.tools.walkers.featuremapping.FlowPairHMMAlignReadsToHaplotypesIntegrationTest,class,2,2,0,2,7,2,0,7,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,0,29,0,0,0,0,0,34,0,10,9,10,1,0,0,0,65,1,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\main\java\org\broadinstitute\hellbender\tools\examples\metrics\multi\ExampleCollectMultiMetricsSpark.java,org.broadinstitute.hellbender.tools.examples.metrics.multi.ExampleCollectMultiMetricsSpark,class,13,13,0,13,6,3,0,5,0,0.6666667,0.6666667,0.6666667,6,0,1,0,5,0,6,0,0,0,3,1,0,3,0,0,1,0,0,23,3,0,0,0,0,2,1,3,0,3,0,0,0,0,177,17,0
C:\Users\Kaveri\Downloads\Files\gatk\gatk\src\main\java\org\broadinstitute\hellbender\utils\gvs\bigquery\StorageAPIAvroReader.java,org.broadinstitute.hellbender.utils.gvs.bigquery.StorageAPIAvroReader,class,19,22,3,19,24,1,0,43,37,0.8282829,0.11111111,0.19444445,11,0,9,2,0,0,9,0,0,0,9,1,0,9,0,0,2,0,2,99,5,0,5,2,0,11,3,24,3,18,3,0,0,0,76,1,3
